# Sound Recording - Timestamp(ms),SoundName,Action(D/U),Volume,Delay
606,kick0,U,1,100
606,n20,U,1,100
606,n22,U,1,100
913,n20,D,1,100
914,n22,D,1,100
1014,kick0,D,1,100
1520,kick0,D,1,100
1621,kick0,D,1,100
1723,kick0,D,1,100
1824,kick0,D,1,100
1925,kick0,D,1,100
2026,kick0,D,1,100
2127,kick0,D,1,100
2229,kick0,D,1,100
2330,kick0,D,1,100
2431,kick0,D,1,100
2533,kick0,D,1,100
2634,kick0,D,1,100
2736,kick0,D,1,100
2837,kick0,D,1,100
2938,kick0,D,1,100
3040,kick0,D,1,100
3141,kick0,D,1,100
3243,kick0,D,1,100
3344,kick0,D,1,100
3446,kick0,D,1,100
3548,kick0,D,1,100
3649,kick0,D,1,100
3751,kick0,D,1,100
3852,kick0,D,1,100
3953,kick0,D,1,100
4054,kick0,D,1,100
4156,kick0,D,1,100
4257,kick0,D,1,100
4358,kick0,D,1,100
4460,kick0,D,1,100
4561,kick0,D,1,100
4562,kick0,D,1,100
4663,kick0,D,1,100
4764,kick0,D,1,100
4866,kick0,D,1,100
4967,kick0,D,1,100
5069,kick0,D,1,100
5170,kick0,D,1,100
5271,kick0,D,1,100
5373,kick0,D,1,100
5475,kick0,D,1,100
5577,kick0,D,1,100
5678,kick0,D,1,100
5779,kick0,D,1,100
5881,kick0,D,1,100
5983,kick0,D,1,100
6084,kick0,D,1,100
9615,kick0,U,1,100
16587,kick0,D,1,100
17230,kick0,D,1,100
17230,kick0,D,1,100
17551,kick0,D,1,100
17873,kick0,D,1,100
18194,kick0,D,1,100
18515,kick0,D,1,100
18836,kick0,D,1,100
19157,kick0,D,1,100
19479,kick0,D,1,100
19802,kick0,D,1,100
20125,kick0,D,1,100
20447,kick0,D,1,100
20769,kick0,D,1,100
21091,kick0,D,1,100
21413,kick0,D,1,100
21735,kick0,D,1,100
22056,kick0,D,1,100
22379,kick0,D,1,100
22702,kick0,D,1,100
22702,kick0,D,1,100
23025,kick0,D,1,100
23347,kick0,D,1,100
23669,kick0,D,1,100
23990,kick0,D,1,100
24312,kick0,D,1,100
24633,kick0,D,1,100
24955,kick0,D,1,100
32989,n22,U,1,100
33000,n20,U,1,100
33000,kick0,U,1,100
