# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up)
5372,note0,Down
5379,note1,Down
5402,note2,Down
5437,note3,Down
5455,note4,Down
5458,note5,Down
5459,note6,Down
5463,note7,Down
5975,note7,Down
6007,note7,Down
6039,note7,Down
6070,note7,Down
6103,note7,Down
6135,note7,Down
6166,note7,Down
6198,note7,Down
6228,note7,Down
6260,note7,Down
6293,note7,Down
6341,note7,Down
6373,note7,Down
6403,note7,Down
6435,note7,Down
6465,note7,Down
6478,note7,Up
8999,note6,Up
10854,note5,Up
12581,note4,Up
14293,note3,Up
16074,note2,Up
17519,note1,Up
18095,note0,Up
