# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
1084,note0,Down,0.100001
1597,note0,Down,0.100001
1627,note0,Down,0.100001
1658,note0,Down,0.100001
1690,note0,Down,0.100001
1722,note0,Down,0.100001
1754,note0,Down,0.100001
1784,note0,Down,0.150001
1817,note0,Down,0.200001
1849,note0,Down,0.250001
1898,note0,Down,0.250001
1928,note0,Down,0.250001
1960,note0,Down,0.300001
1993,note0,Down,0.400001
2023,note0,Down,0.400001
2055,note0,Down,0.450001
2088,note0,Down,0.450001
2117,note0,Down,0.450001
2150,note0,Down,0.450001
2181,note0,Down,0.450001
2213,note0,Down,0.450001
2261,note0,Down,0.450001
2294,note0,Down,0.500001
2325,note0,Down,0.650001
2357,note0,Down,0.800001
2388,note0,Down,0.850001
2419,note0,Down,0.850001
2450,note0,Down,0.850001
2481,note0,Down,0.850001
2515,note0,Down,0.850001
2547,note0,Down,0.850001
2578,note0,Down,0.850001
2610,note0,Down,0.950001
2642,note0,Down,1.15
2689,note0,Down,1.2
2720,note0,Down,1.2
2752,note0,Down,1.2
2783,note0,Down,1.2
2819,note0,Down,1.2
2847,note0,Down,1.2
2879,note0,Down,1.25
2910,note0,Down,1.4
2941,note0,Down,1.55
2972,note0,Down,1.55
3003,note0,Down,1.55
3051,note0,Down,1.55
3082,note0,Down,1.55
3113,note0,Down,1.55
3144,note0,Down,1.55
3177,note0,Down,1.65
3209,note0,Down,1.8
3240,note0,Down,1.95
3272,note0,Down,1.95
3303,note0,Down,1.95
3334,note0,Down,1.95
3381,note0,Down,1.95
3413,note0,Down,1.95
3443,note0,Down,1.95
3477,note0,Down,1.95
3508,note0,Down,2
3538,note0,Down,2
3569,note0,Down,2
3601,note0,Down,2
3632,note0,Down,2
3663,note0,Down,2
3688,note1,Down,2
3859,note0,Up,2
4368,note1,Down,2
4400,note1,Down,2
4430,note1,Down,2
4463,note1,Down,2
4494,note1,Down,2
4526,note1,Down,2
4573,note1,Down,2
4604,note1,Down,2
4634,note1,Down,2
4665,note1,Down,1.9
4697,note1,Down,1.75
4727,note1,Down,1.6
4761,note1,Down,1.6
4790,note1,Down,1.6
4837,note1,Down,1.6
4869,note1,Down,1.6
4900,note1,Down,1.6
4933,note1,Down,1.6
4962,note1,Down,1.5
4995,note1,Down,1.4
5026,note1,Down,1.25
5057,note1,Down,1.25
5089,note1,Down,1.25
5120,note1,Down,1.25
5152,note1,Down,1.25
5200,note1,Down,1.25
5233,note1,Down,1.25
5262,note1,Down,1.2
5293,note1,Down,1.05
5324,note1,Down,0.950001
5356,note1,Down,0.900001
5387,note1,Down,0.900001
5421,note1,Down,0.900001
5450,note1,Down,0.900001
5482,note1,Down,0.900001
5529,note1,Down,0.900001
5560,note1,Down,0.900001
5591,note1,Down,0.900001
5623,note1,Down,0.900001
5654,note1,Down,0.900001
5684,note1,Down,0.800001
5717,note1,Down,0.700001
5748,note1,Down,0.700001
5780,note1,Down,0.650001
5812,note1,Down,0.650001
5860,note1,Down,0.650001
5893,note1,Down,0.650001
5923,note1,Down,0.650001
5953,note1,Down,0.650001
5986,note1,Down,0.600001
6018,note1,Down,0.550001
6049,note1,Down,0.500001
6080,note1,Down,0.500001
6111,note1,Down,0.500001
6143,note1,Down,0.500001
6190,note1,Down,0.500001
6221,note1,Down,0.500001
6226,note2,Down,0.500001
6285,note1,Up,0.500001
6801,note2,Down,0.850001
6832,note2,Down,0.850001
6863,note2,Down,0.850001
6895,note2,Down,1
6926,note2,Down,1.2
6957,note2,Down,1.2
6988,note2,Down,1.2
7020,note2,Down,1.2
7066,note2,Down,1.2
7094,note2,Down,1.2
7126,note2,Down,1.2
7158,note2,Down,1.2
7189,note2,Down,1.3
7222,note2,Down,1.45
7254,note2,Down,1.6
7286,note2,Down,1.6
7318,note2,Down,1.6
7349,note2,Down,1.6
7381,note2,Down,1.6
7412,note2,Down,1.6
7461,note2,Down,1.6
7493,note2,Down,1.75
7525,note2,Down,1.9
7556,note2,Down,1.95
7587,note2,Down,1.95
7618,note2,Down,1.95
7650,note2,Down,1.95
7681,note2,Down,1.95
7713,note2,Down,1.95
7744,note2,Down,2
7775,note2,Down,2
7823,note2,Down,2
7853,note2,Down,2
7886,note2,Down,2
7917,note2,Down,2
7948,note2,Down,2
7981,note2,Down,2
8013,note2,Down,2
8044,note2,Down,2
8076,note2,Down,2
8107,note2,Down,2
8140,note2,Down,2
8171,note2,Down,2
8219,note2,Down,2
8250,note2,Down,2
8282,note2,Down,2
8314,note2,Down,2
8347,note2,Down,2
8379,note2,Down,2
8410,note2,Down,2
8443,note2,Down,2
8474,note2,Down,2
8506,note2,Down,2
8516,note3,Down,2
8606,note2,Up,2
9119,note3,Down,1.25
9151,note3,Down,1.25
9181,note3,Down,1.25
9211,note3,Down,1.25
9242,note3,Down,1.25
9274,note3,Down,1.25
9303,note3,Down,1.25
9353,note3,Down,1.15
9383,note3,Down,1
9413,note3,Down,0.900001
9444,note3,Down,0.900001
9477,note3,Down,0.900001
9508,note3,Down,0.900001
9540,note3,Down,0.900001
9571,note3,Down,0.900001
9603,note3,Down,0.900001
9634,note3,Down,0.900001
9683,note3,Down,0.650001
9713,note3,Down,0.550001
9746,note3,Down,0.550001
9778,note3,Down,0.550001
9809,note3,Down,0.550001
9840,note3,Down,0.550001
9872,note3,Down,0.550001
9903,note3,Down,0.550001
9936,note3,Down,0.550001
9968,note3,Down,0.550001
9999,note3,Down,0.450001
10046,note3,Down,0.300001
10078,note3,Down,0.300001
10108,note3,Down,0.300001
10139,note3,Down,0.300001
10172,note3,Down,0.300001
10203,note3,Down,0.300001
10234,note3,Down,0.300001
10264,note3,Down,0.300001
10296,note3,Down,0.300001
10327,note3,Down,0.300001
10373,note3,Down,0.250001
10407,note3,Down,0.200001
10438,note3,Down,0.200001
10469,note3,Down,0.200001
10500,note3,Down,0.200001
10531,note3,Down,0.200001
10563,note3,Down,0.200001
10594,note3,Down,0.200001
10625,note3,Down,0.200001
10672,note3,Down,0.100001
10703,note3,Down,0.100001
10735,note3,Down,0.100001
10765,note3,Down,0.100001
10797,note3,Down,0.100001
10812,note4,Down,0.100001
10879,note3,Up,0.100001
11392,note4,Down,0.850001
11424,note4,Down,0.850001
11454,note4,Down,0.850001
11484,note4,Down,0.850001
11515,note4,Down,1
11547,note4,Down,1.15
11579,note4,Down,1.25
11609,note4,Down,1.25
11641,note4,Down,1.25
11688,note4,Down,1.25
11720,note4,Down,1.25
11751,note4,Down,1.25
11783,note4,Down,1.3
11813,note4,Down,1.5
11844,note4,Down,1.55
11876,note4,Down,1.6
11908,note4,Down,1.6
11942,note4,Down,1.6
11972,note4,Down,1.6
12019,note4,Down,1.6
12049,note4,Down,1.65
12080,note4,Down,1.8
12111,note4,Down,1.95
12143,note4,Down,1.95
12174,note4,Down,2
12205,note4,Down,2
12237,note4,Down,2
12283,note4,Down,2
12314,note4,Down,2
12344,note4,Down,2
12377,note4,Down,2
12409,note4,Down,2
12438,note4,Down,2
12470,note4,Down,2
12502,note4,Down,2
12534,note4,Down,2
12580,note4,Down,2
12609,note4,Down,2
12643,note4,Down,2
12674,note4,Down,2
12705,note4,Down,2
12736,note4,Down,2
12768,note4,Down,2
12798,note4,Down,2
12831,note4,Down,2
12876,note4,Down,2
12902,note5,Down,2
13020,note4,Up,2
13528,note5,Down,2
13561,note5,Down,2
13590,note5,Down,2
13625,note5,Down,2
13653,note5,Down,2
13686,note5,Down,2
13732,note5,Down,2
13763,note5,Down,2
13793,note5,Down,2
13824,note5,Down,2
13857,note5,Down,2
13888,note5,Down,2
13920,note5,Down,2
13949,note5,Down,2
13998,note5,Down,2
14029,note5,Down,2
14059,note5,Down,2
14092,note5,Down,2
14123,note5,Down,2
14154,note5,Down,2
14184,note5,Down,2
14215,note5,Down,2
14246,note5,Down,2
14292,note5,Down,2
14323,note5,Down,2
14355,note5,Down,2
14387,note5,Down,2
14418,note5,Down,2
14450,note5,Down,2
14484,note5,Down,2
14513,note5,Down,2
14544,note5,Down,2
14591,note5,Down,2
14622,note5,Down,2
14652,note5,Down,2
14683,note5,Down,2
14716,note5,Down,2
14748,note5,Down,2
14779,note5,Down,2
14810,note5,Down,2
14842,note5,Down,2
14888,note5,Down,2
14920,note5,Down,2
14951,note5,Down,2
14981,note5,Down,2
15013,note5,Down,1.85
15043,note5,Down,1.65
15048,note6,Down,1.65
15169,note5,Up,1.65
15682,note6,Down,2
15713,note6,Down,2
15745,note6,Down,2
15776,note6,Down,2
15806,note6,Down,2
15840,note6,Down,2
15871,note6,Down,2
15902,note6,Down,2
15949,note6,Down,2
15980,note6,Down,2
16012,note6,Down,2
16043,note6,Down,2
16075,note6,Down,2
16104,note6,Down,2
16137,note6,Down,2
16166,note6,Down,2
16198,note6,Down,2
16244,note6,Down,2
16276,note6,Down,2
16306,note6,Down,2
16338,note6,Down,2
16369,note6,Down,2
16401,note6,Down,2
16431,note6,Down,2
16462,note6,Down,2
16495,note6,Down,2
16528,note6,Down,2
16576,note6,Down,2
16606,note6,Down,2
16638,note6,Down,2
16668,note6,Down,2
16671,note7,Down,2
16786,note6,Up,1.95
17292,note7,Down,1.25
17323,note7,Down,1.25
17354,note7,Down,1.25
17402,note7,Down,1.25
17432,note7,Down,1.25
17465,note7,Down,1.25
17498,note7,Down,1.25
17529,note7,Down,1.2
17560,note7,Down,1.05
17589,note7,Down,0.950001
17622,note7,Down,0.950001
17653,note7,Down,0.950001
17685,note7,Down,0.950001
17731,note7,Down,0.950001
17763,note7,Down,0.950001
17795,note7,Down,0.950001
17824,note7,Down,0.950001
17856,note7,Down,0.900001
17887,note7,Down,0.750001
17920,note7,Down,0.650001
17951,note7,Down,0.650001
17983,note7,Down,0.650001
18016,note7,Down,0.650001
18048,note7,Down,0.650001
18095,note7,Down,0.650001
18125,note7,Down,0.650001
18155,note7,Down,0.650001
18187,note7,Down,0.650001
18218,note7,Down,0.600001
18249,note7,Down,0.450001
18280,note7,Down,0.350001
18312,note7,Down,0.350001
18345,note7,Down,0.350001
18376,note7,Down,0.350001
18422,note7,Down,0.350001
18454,note7,Down,0.350001
