# Sound Recording - nimesnamp(ms),SoundName,Acnion(D/U),Volume
499,n0,D,1
501,n2,D,1
631,n2,U,1
631,n0,U,1
956,n3,D,1
962,n1,D,1
1071,n1,U,1
1078,n3,U,1
1457,n1,D,1
1466,n3,D,1
1572,n1,U,1
1583,n3,U,1
1923,n0,D,1
1933,n2,D,1
2044,n2,U,1
2051,n0,U,1
2399,n3,D,1
2413,n1,D,1
2508,n3,U,1
2544,n1,U,1
2893,n1,D,1
2899,n3,D,1
3043,n3,U,1
3064,n1,U,1
3396,n2,D,1
3421,n5,D,1
3557,n2,U,1
3562,n5,U,1
3891,n3,D,1
3905,n1,D,1
3915,n2,D,1
4005,n2,U,1
4047,n1,U,1
4063,n3,U,1
4413,n1,D,1
4419,n2,D,1
4466,n2,U,1
4539,n1,U,1
4928,n3,D,1
4953,n1,D,1
5075,n1,U,1
5086,n3,U,1
5440,n3,D,1
5450,n1,D,1
5603,n1,U,1
5603,n3,U,1
5955,n0,D,1
5956,n4,D,1
6113,n0,U,1
6128,n4,U,1
6461,n0,D,1
6465,n4,D,1
6670,n4,U,1
6682,n0,U,1
6969,n0,D,1
6971,n4,D,1
7166,n4,U,1
7186,n0,U,1
7494,n1,D,1
7496,n5,D,1
7646,n5,U,1
7663,n1,U,1
8038,n5,D,1
8046,n1,D,1
8180,n5,U,1
8189,n1,U,1
8526,n4,D,1
8527,n1,D,1
8688,n4,U,1
8699,n1,U,1
9037,n3,D,1
9067,n1,D,1
9209,n3,U,1
9221,n1,U,1
9574,n2,D,1
9583,n1,D,1
9717,n1,U,1
9738,n2,U,1
10069,n2,D,1
10088,n1,D,1
10202,n1,U,1
10213,n2,U,1
10603,n2,D,1
10618,n1,D,1
10729,n1,U,1
10738,n2,U,1
11098,n0,D,1
11112,n2,D,1
11615,n2,D,1
11647,n2,D,1
11679,n2,D,1
11726,n2,D,1
11757,n2,D,1
11787,n2,D,1
11823,n2,D,1
11850,n2,D,1
11882,n2,D,1
11913,n2,D,1
11934,n0,U,1
11939,n2,U,1
12309,c1,D,1
12310,c2,D,1
12311,c3,D,1
12402,c1,U,1
12402,c2,U,1
12402,c3,U,1
13634,c1,D,1
13636,c2,D,1
13637,c3,D,1
13713,c1,U,1
13713,c2,U,1
13713,c3,U,1
14653,c1,D,1
14654,c2,D,1
14656,c3,D,1
14777,c1,U,1
14777,c2,U,1
14778,c3,U,1
15484,n8,D,1
15579,n8,U,1
15952,c1,D,1
15953,c2,D,1
15954,c3,D,1
16103,c1,U,1
16103,c2,U,1
16103,c3,U,1
16441,c1,D,1
16442,c2,D,1
16443,c3,D,1
16581,c1,U,1
16581,c2,U,1
16581,c3,U,1
16977,n7,D,1
17074,n7,U,1
17444,c1,D,1
17445,c2,D,1
17446,c3,D,1
17593,c1,U,1
17593,c2,U,1
17593,c3,U,1
17981,c1,D,1
17982,c2,D,1
17983,c3,D,1
18125,c1,U,1
18126,c2,U,1
18126,c3,U,1
18556,n8,D,1
18654,n8,U,1
18982,c1,D,1
18983,c2,D,1
18984,c3,D,1
19050,n7,D,1
19065,c1,U,1
19065,c2,U,1
19065,c3,U,1
19119,n7,U,1
19409,c1,D,1
19410,c2,D,1
19411,c3,D,1
19530,n6,D,1
19544,c1,U,1
19545,c2,U,1
19545,c3,U,1
19605,n6,U,1
19957,n8,D,1
20035,n8,U,1
20460,n7,D,1
20548,n7,U,1
20926,c1,D,1
20927,c2,D,1
20928,c3,D,1
21011,c1,U,1
21011,c2,U,1
21011,c3,U,1
21160,c1,D,1
21160,c2,D,1
21161,c3,D,1
21234,c1,U,1
21234,c2,U,1
21234,c3,U,1
21363,c1,D,1
21364,c2,D,1
21364,c3,D,1
21437,c1,U,1
21437,c2,U,1
21437,c3,U,1
21567,c1,D,1
21567,c2,D,1
21568,c3,D,1
21632,c1,U,1
21632,c2,U,1
21632,c3,U,1
22015,n8,D,1
22105,n8,U,1
22511,n7,D,1
22600,n7,U,1
23043,n6,D,1
23129,n6,U,1
23515,n7,D,1
23605,n7,U,1
24024,n8,D,1
24121,n8,U,1
24480,c1,D,1
24481,c2,D,1
24481,c3,D,1
24569,c1,U,1
24569,c2,U,1
24569,c3,U,1
25012,c1,D,1
25013,c2,D,1
25014,c3,D,1
25071,c1,U,1
25071,c2,U,1
25071,c3,U,1
25544,n7,D,1
25621,n7,U,1
26069,n8,D,1
26154,n8,U,1
26565,n7,D,1
26654,n7,U,1
27107,n6,D,1
27198,n6,U,1
27594,n7,D,1
27684,n7,U,1
28055,n8,D,1
28139,n8,U,1
28499,c1,D,1
28500,c2,D,1
28500,c3,D,1
28598,c1,U,1
28598,c2,U,1
28598,c3,U,1
29012,c1,D,1
29013,c2,D,1
29013,c3,D,1
29091,c1,U,1
29091,c2,U,1
29091,c3,U,1
29540,n8,D,1
29612,n8,U,1
30029,n7,D,1
30104,n7,U,1
30522,n6,D,1
30595,n6,U,1
31068,c1,D,1
31069,c2,D,1
31070,c3,D,1
31158,c1,U,1
31158,c2,U,1
31158,c3,U,1
31583,n7,D,1
31667,n7,U,1
32107,n8,D,1
32189,n8,U,1
32586,n7,D,1
32678,n7,U,1
33087,n6,D,1
33178,n6,U,1
33623,c1,D,1
33624,c2,D,1
33625,c3,D,1
33695,c1,U,1
33695,c2,U,1
33695,c3,U,1
34147,c1,D,1
34148,c2,D,1
34148,c3,D,1
34206,c1,U,1
34206,c2,U,1
34206,c3,U,1
34639,n7,D,1
34732,n7,U,1
35170,n8,D,1
35257,n8,U,1
35645,n8,D,1
35750,n8,U,1
36132,n7,D,1
36234,n7,U,1
36590,n8,D,1
36698,n8,U,1
37107,n6,D,1
37198,n6,U,1
37620,c1,D,1
37621,c2,D,1
37622,c3,D,1
37719,c1,U,1
37719,c2,U,1
37719,c3,U,1
38181,n7,D,1
38267,n7,U,1
38677,n8,D,1
38774,n8,U,1
39136,n7,D,1
39270,n7,U,1
39656,n6,D,1
39782,n6,U,1
40823,n8,D,1
40912,n8,U,1
