# Sound Recording - Timestamp(ms),SoundName,Action(D/U),Volume
2597,c1,D,2
2599,c2,D,2
2600,c3,D,2
2685,c1,U,2
2685,c2,U,2
2685,c3,U,2
4599,hihat,D,2
4599,hihat,U,2
5740,c1,D,2
5742,c2,D,2
5744,c3,D,2
5825,c1,U,2
5825,c2,U,2
5826,c3,U,2
6801,ride,D,2
6801,ride,U,2
7215,crash,D,2
7215,crash,U,2
7632,hihat,D,2
7632,hihat,U,2
8917,c1,D,2
8918,c2,D,2
8920,c3,D,2
9004,c1,U,2
9004,c2,U,2
9004,c3,U,2
9983,clap,D,2
9983,clap,U,2
10340,ride,D,2
10340,ride,U,2
10764,crash,D,2
10764,crash,U,2
11854,c1,D,2
11856,c2,D,2
11858,c3,D,2
11964,c1,U,2
11965,c2,U,2
11965,c3,U,2
12730,hihat,D,2
12730,hihat,U,2
13835,ride,D,2
13835,ride,U,2
14142,crash,D,2
14142,crash,U,2
14517,clap,D,2
14517,clap,U,2
15707,c1,D,2
15709,c2,D,2
15710,c3,D,2
15816,c1,U,2
15816,c2,U,2
15816,c3,U,2
16821,hihat,D,2
16821,hihat,U,2
17893,ride,D,2
17893,ride,U,2
18266,crash,D,2
18267,crash,U,2
18540,clap,D,2
18540,clap,U,2
19885,c1,D,2
19886,c2,D,2
19888,c3,D,2
20016,c1,U,2
20017,c2,U,2
20017,c3,U,2
21058,hihat,D,2
21058,hihat,U,2
21962,crash,D,2
21962,crash,U,2
22355,ride,D,2
22355,ride,U,2
22683,clap,D,2
22683,clap,U,2
25354,tom2,D,2
25354,tom2,U,2
25751,tom1,D,2
25751,tom1,U,2
26560,tom2,D,2
26561,tom2,U,2
26974,tom1,D,2
26974,tom1,U,2
27888,snare,D,2
27888,snare,U,2
28292,kick,D,2
28292,kick,U,2
29188,snare,D,2
29188,snare,U,2
29594,kick,D,2
29594,kick,U,2
30507,tom2,D,2
30507,tom2,U,2
30812,tom1,D,2
30812,tom1,U,2
31204,kick,D,2
31204,kick,U,2
31595,snare,D,2
31595,snare,U,2
32497,snare,D,2
32497,snare,U,2
32854,tom2,D,2
32854,tom2,U,2
33246,tom1,D,2
33246,tom1,U,2
33620,kick,D,2
33621,kick,U,2
34471,kick,D,2
34471,kick,U,2
34845,tom2,D,2
34845,tom2,U,2
35203,tom1,D,2
35203,tom1,U,2
35560,snare,D,2
35560,snare,U,2
35933,kick,D,2
35933,kick,U,2
36292,tom2,D,2
36292,tom2,U,2
36668,tom1,D,2
36668,tom1,U,2
37045,snare,D,2
37045,snare,U,2
37402,kick,D,2
37402,kick,U,2
37758,tom2,D,2
37758,tom2,U,2
38116,tom1,D,2
38116,tom1,U,2
38456,snare,D,2
38456,snare,U,2
38797,c1,D,2
38799,c2,D,2
38801,c3,D,2
38887,c1,U,2
38887,c2,U,2
38887,c3,U,2
39144,kick,D,2
39144,kick,U,2
39504,tom2,D,2
39504,tom2,U,2
39877,tom1,D,2
39877,tom1,U,2
40235,snare,D,2
40235,snare,U,2
40609,c1,D,2
40611,c2,D,2
40613,c3,D,2
40698,c1,U,2
40698,c2,U,2
40698,c3,U,2
40919,kick,D,2
40919,kick,U,2
41278,snare,D,2
41278,snare,U,2
41669,tom2,D,2
41669,tom2,U,2
42009,tom1,D,2
42009,tom1,U,2
42384,snare,D,2
42384,snare,U,2
42759,c1,D,2
42761,c2,D,2
42763,c3,D,2
42849,c1,U,2
42849,c2,U,2
42850,c3,U,2
43107,kick,D,2
43107,kick,U,2
43463,snare,D,2
43463,snare,U,2
43822,tom2,D,2
43822,tom2,U,2
