# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
114,note0,Down,2
623,note0,Down,2
655,note0,Down,2
687,note0,Down,2
719,note0,Down,2
751,note0,Down,2
784,note0,Down,2
814,note0,Down,2
847,note0,Down,2
879,note0,Down,2
924,note0,Down,2
957,note0,Down,2
988,note0,Down,2
1019,note0,Down,2
1053,note0,Down,2
1084,note0,Down,2
1116,note0,Down,2
1149,note0,Down,2
1180,note0,Down,2
1209,note0,Down,2
1242,note0,Down,2
1275,note0,Down,2
1308,note0,Down,2
1355,note0,Down,2
1387,note0,Down,2
1419,note0,Down,2
1451,note0,Down,2
1483,note0,Down,2
1514,note0,Down,2
1546,note0,Down,2
1578,note0,Down,2
1610,note0,Down,2
1642,note0,Down,2
1674,note0,Down,2
1706,note0,Down,2
1737,note0,Down,2
1785,note0,Down,2
1817,note0,Down,2
1849,note0,Down,2
1881,note0,Down,2
1914,note0,Down,2
1944,note0,Down,2
1976,note0,Down,2
2007,note0,Down,2
2039,note0,Down,2
2070,note0,Down,2
2102,note0,Down,2
2134,note0,Down,2
2180,note0,Down,2
2213,note0,Down,2
2245,note0,Down,2
2277,note0,Down,2
2308,note0,Down,2
2341,note0,Down,2
2371,note0,Down,2
2404,note0,Down,2
2434,note0,Down,2
2467,note0,Down,2
2498,note0,Down,2
2530,note0,Down,2
2576,note0,Down,2
2608,note0,Down,2
2638,note0,Down,2
2671,note0,Down,2
2703,note0,Down,2
2734,note0,Down,2
2765,note0,Down,2
2797,note0,Down,2
2829,note0,Down,2
2860,note0,Down,2
2892,note0,Down,2
2939,note0,Down,2
2971,note0,Down,2
3002,note0,Down,2
3034,note0,Down,2
3065,note0,Down,2
3097,note0,Down,2
3100,note1,Down,2
3614,note1,Down,2
3648,note1,Down,2
3679,note1,Down,2
3710,note1,Down,2
3742,note1,Down,2
3773,note1,Down,2
3806,note1,Down,2
3836,note1,Down,2
3869,note1,Down,2
3900,note1,Down,2
3932,note1,Down,2
3978,note1,Down,2
4010,note1,Down,2
4041,note1,Down,2
4073,note1,Down,2
4104,note1,Down,2
4135,note1,Down,2
4164,note1,Down,2
4197,note1,Down,2
4228,note1,Down,2
4275,note1,Down,2
4305,note1,Down,2
4336,note1,Down,2
4368,note1,Down,2
4398,note1,Down,2
4429,note1,Down,2
4460,note1,Down,2
4504,note1,Down,2
4537,note1,Down,2
4569,note1,Down,2
4600,note1,Down,2
4631,note1,Down,2
4663,note1,Down,2
4694,note1,Down,2
4725,note1,Down,2
4770,note1,Down,2
4801,note1,Down,2
4833,note1,Down,2
4864,note1,Down,2
4897,note1,Down,2
4928,note1,Down,2
4959,note1,Down,2
4990,note1,Down,2
5022,note1,Down,2
5053,note1,Down,2
5100,note1,Down,2
5130,note1,Down,2
5161,note1,Down,2
5192,note1,Down,2
5222,note1,Down,2
5254,note1,Down,2
5285,note1,Down,2
5332,note1,Down,2
5362,note1,Down,2
5393,note1,Down,2
5424,note1,Down,2
5455,note1,Down,2
5487,note1,Down,2
5518,note1,Down,2
5550,note1,Down,2
5582,note1,Down,2
5614,note1,Down,2
5660,note1,Down,2
5691,note1,Down,2
5722,note1,Down,2
5752,note1,Down,2
5783,note1,Down,2
5815,note1,Down,2
5847,note1,Down,2
5878,note1,Down,2
5923,note1,Down,2
5954,note1,Down,2
5988,note1,Down,2
6020,note1,Down,2
6051,note1,Down,2
6082,note1,Down,2
6113,note1,Down,2
6144,note1,Down,2
6175,note1,Down,2
6222,note1,Down,2
6255,note1,Down,2
6287,note1,Down,2
6318,note1,Down,2
6349,note1,Down,2
6380,note1,Down,2
6382,note1,Up,2
6426,note5,Down,2
6930,note5,Down,2
6962,note5,Down,2
6993,note5,Down,2
7040,note5,Down,2
7071,note5,Down,2
7104,note5,Down,2
7135,note5,Down,2
7168,note5,Down,2
7197,note5,Down,2
7230,note5,Down,2
7260,note5,Down,2
7293,note5,Down,2
7325,note5,Down,2
7355,note5,Down,2
7402,note5,Down,2
7434,note5,Down,2
7465,note5,Down,2
7497,note5,Down,2
7526,note5,Down,2
7559,note5,Down,2
7591,note5,Down,2
7622,note5,Down,2
7654,note5,Down,2
7700,note5,Down,2
7731,note5,Down,2
7764,note5,Down,2
7794,note5,Down,2
7824,note5,Down,2
7857,note5,Down,2
7887,note5,Down,2
7919,note5,Down,2
7964,note5,Down,2
7997,note5,Down,2
8028,note5,Down,2
8061,note5,Down,2
8095,note5,Down,2
8124,note5,Down,2
8155,note5,Down,2
8185,note5,Down,2
8218,note5,Down,2
8250,note5,Down,2
8282,note5,Down,2
8314,note5,Down,2
8362,note5,Down,2
8393,note5,Down,2
8424,note5,Down,2
8456,note5,Down,2
8487,note5,Down,2
8520,note5,Down,2
8550,note5,Down,2
8582,note5,Down,2
8614,note5,Down,2
8645,note5,Down,2
8677,note5,Down,2
8723,note5,Down,2
8754,note5,Down,2
8787,note5,Down,2
8818,note5,Down,2
8850,note5,Down,2
8881,note5,Down,2
8913,note5,Down,2
8945,note5,Down,2
8977,note5,Down,2
9009,note5,Down,2
9041,note5,Down,2
9073,note5,Down,2
9105,note5,Down,2
9152,note5,Down,2
9184,note5,Down,2
9214,note5,Down,2
9224,note7,Down,2
9313,note5,Up,2
9815,note7,Down,2
9847,note7,Down,2
9894,note7,Down,2
9925,note7,Down,2
9954,note7,Down,2
9986,note7,Down,2
10018,note7,Down,2
10051,note7,Down,2
10083,note7,Down,2
10114,note7,Down,2
10145,note7,Down,2
10177,note7,Down,2
10224,note7,Down,2
10255,note7,Down,2
10287,note7,Down,2
10318,note7,Down,2
10351,note7,Down,2
10382,note7,Down,2
10413,note7,Down,2
10444,note7,Down,2
10475,note7,Down,2
10508,note7,Down,2
10554,note7,Down,2
10585,note7,Down,2
10616,note7,Down,2
10647,note7,Down,2
10678,note7,Down,2
10709,note7,Down,2
10741,note7,Down,2
10771,note7,Down,2
10818,note7,Down,2
10850,note7,Down,2
10881,note7,Down,2
10913,note7,Down,2
10944,note7,Down,2
10975,note7,Down,2
11008,note7,Down,2
11039,note7,Down,2
11071,note7,Down,2
11101,note7,Down,2
11149,note7,Down,2
11180,note7,Down,2
11212,note7,Down,2
11243,note7,Down,2
11275,note7,Down,2
11307,note7,Down,2
11338,note7,Down,2
11370,note7,Down,2
11400,note7,Down,2
11432,note7,Down,2
11464,note7,Down,2
11510,note7,Down,2
11540,note7,Down,2
11572,note7,Down,2
11603,note7,Down,2
11635,note7,Down,2
11666,note7,Down,2
11697,note7,Down,2
11728,note7,Down,2
11774,note7,Down,2
11805,note7,Down,2
11837,note7,Down,2
11868,note7,Down,2
11899,note7,Down,2
11930,note7,Down,2
11960,note7,Down,2
11993,note7,Down,2
12039,note7,Down,2
12071,note7,Down,2
12102,note7,Down,2
12134,note7,Down,2
12165,note7,Down,2
12198,note7,Down,2
12230,note7,Down,2
12261,note7,Down,2
12292,note7,Down,2
12325,note7,Down,2
12357,note7,Down,2
