# Sound Recording - Timestamp(ms),SoundName,Action(D/U),Volume
1547,c1,D,1
1548,c2,D,1
1550,c3,D,1
1613,c1,U,1
1613,c2,U,1
1613,c3,U,1
3676,n8,D,1
3772,n8,U,1
4108,n7,D,1
4188,n7,U,1
4516,n6,D,1
4605,n6,U,1
4912,n5,D,1
5004,n5,U,1
5284,n4,D,1
5388,n4,U,1
5760,c1,D,1
5761,c2,D,1
5762,c3,D,1
5850,c1,U,1
5851,c2,U,1
5851,c3,U,1
6810,n8,D,1
6891,n8,U,1
7203,n7,D,1
7284,n7,U,1
7586,n6,D,1
7671,n6,U,1
7958,n5,D,1
8036,n5,U,1
8351,n4,D,1
8440,n4,U,1
8745,n3,D,1
8835,n3,U,1
9133,n2,D,1
9213,n2,U,1
9551,n1,D,1
9635,n1,U,1
9960,n0,D,1
10048,n0,U,1
